/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.438596,0.011930
Epoch: 0/300, train loss:0.950220, test loss:2.247387, train_acc=1732/2880=0.601389, test_acc=500/1140=0.438596, best_acc=0.438596, train_mae:0.144423, test_mae:0.011930
model saved, 0.462281,0.011833
Epoch: 1/300, train loss:0.651565, test loss:0.938332, train_acc=1921/2880=0.667014, test_acc=527/1140=0.462281, best_acc=0.462281, train_mae:0.011601, test_mae:0.011833
Epoch: 2/300, train loss:0.659451, test loss:0.980992, train_acc=1894/2880=0.657639, test_acc=651/1140=0.571053, best_acc=0.571053, train_mae:0.012080, test_mae:0.011910
Epoch: 3/300, train loss:0.646903, test loss:0.796576, train_acc=1918/2880=0.665972, test_acc=680/1140=0.596491, best_acc=0.596491, train_mae:0.012315, test_mae:0.011904
Epoch: 4/300, train loss:0.628427, test loss:0.599432, train_acc=1953/2880=0.678125, test_acc=790/1140=0.692982, best_acc=0.692982, train_mae:0.012365, test_mae:0.011897
Epoch: 5/300, train loss:0.640248, test loss:6.041753, train_acc=1984/2880=0.688889, test_acc=509/1140=0.446491, best_acc=0.692982, train_mae:0.012369, test_mae:0.011885
Epoch: 6/300, train loss:0.673125, test loss:1.515444, train_acc=1912/2880=0.663889, test_acc=640/1140=0.561404, best_acc=0.692982, train_mae:0.012366, test_mae:0.011880
Epoch: 7/300, train loss:0.632044, test loss:0.685960, train_acc=1968/2880=0.683333, test_acc=633/1140=0.555263, best_acc=0.692982, train_mae:0.012357, test_mae:0.011881
Epoch: 8/300, train loss:0.605023, test loss:0.607079, train_acc=1997/2880=0.693403, test_acc=720/1140=0.631579, best_acc=0.692982, train_mae:0.012358, test_mae:0.011874
Epoch: 9/300, train loss:0.609657, test loss:0.617346, train_acc=2002/2880=0.695139, test_acc=750/1140=0.657895, best_acc=0.692982, train_mae:0.012367, test_mae:0.011870
Epoch: 10/300, train loss:0.583038, test loss:0.829857, train_acc=2062/2880=0.715972, test_acc=697/1140=0.611404, best_acc=0.692982, train_mae:0.012361, test_mae:0.011866
Epoch: 11/300, train loss:0.563433, test loss:1.618224, train_acc=2101/2880=0.729514, test_acc=654/1140=0.573684, best_acc=0.692982, train_mae:0.012354, test_mae:0.011860
Epoch: 12/300, train loss:0.536878, test loss:1.307462, train_acc=2173/2880=0.754514, test_acc=621/1140=0.544737, best_acc=0.692982, train_mae:0.012346, test_mae:0.011842
Epoch: 13/300, train loss:0.528613, test loss:0.552267, train_acc=2165/2880=0.751736, test_acc=813/1140=0.713158, best_acc=0.713158, train_mae:0.012340, test_mae:0.011841
Epoch: 14/300, train loss:0.531285, test loss:11.520114, train_acc=2162/2880=0.750694, test_acc=640/1140=0.561404, best_acc=0.713158, train_mae:0.012331, test_mae:0.011859
Epoch: 15/300, train loss:0.589741, test loss:0.986386, train_acc=2053/2880=0.712847, test_acc=671/1140=0.588596, best_acc=0.713158, train_mae:0.012322, test_mae:0.011850
Epoch: 16/300, train loss:0.546359, test loss:1.165740, train_acc=2173/2880=0.754514, test_acc=657/1140=0.576316, best_acc=0.713158, train_mae:0.012314, test_mae:0.011846
Epoch: 17/300, train loss:0.574132, test loss:0.690371, train_acc=2063/2880=0.716319, test_acc=770/1140=0.675439, best_acc=0.713158, train_mae:0.012307, test_mae:0.011843
